epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4029,1.79715,2.40712,1.91048,0.00076,0.07843,0.00037,0.0001,3.71082,inf,17.1485,0.000660494,0.000660494,0.000660494
2,75.8096,2.06057,2.36799,2.07032,0.12647,0.35294,0.15178,0.05565,2.87848,56.4996,4.78245,0.00131402,0.00131402,0.00131402
3,107.489,2.04005,2.39882,2.12317,0.14273,0.27451,0.11865,0.04415,2.54148,6.85813,2.94619,0.00195435,0.00195435,0.00195435
4,125.644,1.96404,2.2801,2.06881,0.28615,0.14706,0.09813,0.04642,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,143.815,1.96166,2.21715,2.04196,0.23194,0.16667,0.09765,0.02662,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,161.71,1.86061,2.10576,1.96701,0.11948,0.18758,0.12772,0.05069,1.9524,28.1244,2.565,0.001901,0.001901,0.001901
7,179.557,1.83567,1.99634,1.96385,0.74129,0.47758,0.63211,0.32549,1.98936,5.76656,2.49159,0.0018812,0.0018812,0.0018812
8,197.696,1.76736,1.84887,1.88469,0.67656,0.59804,0.6245,0.27501,1.92469,4.31241,2.42812,0.0018614,0.0018614,0.0018614
9,215.498,1.7502,1.8779,1.87721,0.77923,0.61765,0.72554,0.36454,1.67681,3.28451,2.21428,0.0018416,0.0018416,0.0018416
10,233.881,1.6647,1.78168,1.76939,0.72087,0.58237,0.68292,0.33262,1.83774,2.79446,2.29752,0.0018218,0.0018218,0.0018218
11,252.038,1.67629,1.73946,1.83144,0.73691,0.5098,0.57646,0.24405,1.71795,5.86083,2.25079,0.001802,0.001802,0.001802
12,271.214,1.66383,1.65266,1.79124,0.77319,0.62745,0.74525,0.41766,1.68467,2.08851,2.12433,0.0017822,0.0017822,0.0017822
13,290.315,1.60499,1.65194,1.74396,0.717,0.67069,0.736,0.39815,1.65527,2.32809,2.1906,0.0017624,0.0017624,0.0017624
14,309.281,1.60444,1.62852,1.7701,0.71769,0.67647,0.74586,0.41117,1.60389,2.06081,2.08789,0.0017426,0.0017426,0.0017426
15,327.421,1.57225,1.58276,1.73473,0.78604,0.68627,0.76513,0.42967,1.7043,1.62606,2.18117,0.0017228,0.0017228,0.0017228
16,346.127,1.51789,1.50039,1.70192,0.78997,0.66376,0.75057,0.40046,1.72126,2.36832,2.22447,0.001703,0.001703,0.001703
17,364.645,1.51243,1.49623,1.69593,0.79537,0.64706,0.78783,0.4286,1.60247,2.62695,2.0671,0.0016832,0.0016832,0.0016832
18,383.239,1.5773,1.54256,1.73642,0.70446,0.7451,0.76497,0.42954,1.53391,1.77359,2.00699,0.0016634,0.0016634,0.0016634
19,401.445,1.49313,1.49851,1.63441,0.83495,0.69434,0.81745,0.47351,1.62138,1.91892,2.08542,0.0016436,0.0016436,0.0016436
20,420.213,1.45342,1.39163,1.63166,0.79104,0.77944,0.81458,0.46886,1.5187,1.59928,2.06715,0.0016238,0.0016238,0.0016238
21,438.364,1.47867,1.33622,1.63763,0.79883,0.73972,0.825,0.47676,1.50568,1.92021,2.00683,0.001604,0.001604,0.001604
22,457.028,1.46694,1.29888,1.63925,0.77779,0.82353,0.82477,0.46499,1.53822,1.35,2.05281,0.0015842,0.0015842,0.0015842
23,475.28,1.41935,1.30127,1.58783,0.86731,0.72549,0.82584,0.47095,1.5885,1.66851,2.04205,0.0015644,0.0015644,0.0015644
24,493.456,1.45484,1.349,1.61215,0.83204,0.7451,0.79083,0.45314,1.71781,1.53498,2.15757,0.0015446,0.0015446,0.0015446
25,512.102,1.43272,1.29784,1.58954,0.80335,0.80392,0.84846,0.51077,1.45481,1.77887,1.93605,0.0015248,0.0015248,0.0015248
26,541.409,1.37918,1.29532,1.57989,0.80221,0.79528,0.86422,0.47516,1.67075,1.92447,2.13439,0.001505,0.001505,0.001505
27,583.445,1.42251,1.28421,1.57588,0.74426,0.72549,0.77144,0.47192,1.52984,2.93375,2.00447,0.0014852,0.0014852,0.0014852
28,627.528,1.37909,1.2874,1.56633,0.82648,0.77451,0.84295,0.49952,1.65042,2.16494,2.18029,0.0014654,0.0014654,0.0014654
29,669.126,1.43446,1.25061,1.60457,0.77986,0.82353,0.86052,0.52068,1.43592,1.41129,1.91766,0.0014456,0.0014456,0.0014456
30,709.202,1.37173,1.20412,1.54929,0.68871,0.77451,0.7888,0.43986,1.54816,1.8342,2.00921,0.0014258,0.0014258,0.0014258
31,746.277,1.39292,1.25095,1.57303,0.88193,0.73529,0.8383,0.48928,1.57924,1.54257,2.00106,0.001406,0.001406,0.001406
32,777.836,1.36405,1.19204,1.56594,0.79135,0.77451,0.83225,0.48721,1.45362,1.43321,1.93573,0.0013862,0.0013862,0.0013862
33,808.188,1.34416,1.17773,1.54464,0.81893,0.79813,0.86358,0.5343,1.37342,1.44802,1.88936,0.0013664,0.0013664,0.0013664
34,844.766,1.34614,1.16118,1.52415,0.87173,0.72549,0.85033,0.52448,1.42081,1.60984,1.96826,0.0013466,0.0013466,0.0013466
35,882.925,1.35376,1.17294,1.54274,0.80889,0.7451,0.83382,0.48198,1.45272,1.53626,1.90097,0.0013268,0.0013268,0.0013268
